decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
20,0,1,2,3,6.82350389332737,39.0,22.756241659155393,20.0,-19.0
20,0,2,1,3,19.14799301294937,27.0,24.934568781239847,1.0,-26.0
20,0,2,2,4,19.14799301294937,33.0,31.33166837211411,34.0,1.0
20,1,1,1,2,19.478228000550303,-5.0,23.083924216755634,-6.0,-1.0
20,1,1,2,3,19.478228000550303,4.0,23.410014877708647,3.0,-1.0
20,1,2,1,3,26.63452820571962,0.0,31.381670908063427,-19.0,-19.0
20,1,2,2,4,26.63452820571962,10.0,25.42048976198697,1.0,-9.0
20,2,1,1,2,7.381956660346702,2.0,16.973219104219197,12.0,10.0
20,2,1,2,3,7.381956660346702,13.0,20.52706272678779,-2.0,-15.0
20,2,2,1,3,19.48078932479126,1.0,18.969496753429382,-36.0,-37.0
20,2,2,2,4,19.48078932479126,-10.0,33.42987019650781,5.0,15.0
20,3,1,1,2,18.484517273245274,-5.0,25.191324790490683,-2.0,3.0
20,3,1,2,3,18.484517273245274,-23.0,24.16469231816498,11.0,34.0
20,3,2,1,3,24.597353667586333,-13.0,31.451900333170727,-16.0,-3.0
20,3,2,2,4,24.597353667586333,-30.0,27.30476898779918,17.0,47.0
20,4,1,1,2,10.713962079686155,-11.0,16.355260950708896,-20.0,-9.0
20,4,1,2,3,10.713962079686155,-28.0,17.772899021064234,-4.0,24.0
20,4,2,1,3,18.755977931169184,-23.0,21.618286277398596,-17.0,6.0
20,4,2,2,4,18.755977931169184,-40.0,21.19885147027361,-1.0,39.0
20,5,1,1,2,7.381956660346702,3.0,17.940904642406565,0.0,-3.0
20,5,1,2,3,7.381956660346702,18.0,19.297157133236794,9.0,-9.0
20,5,2,1,3,19.480789324791317,10.0,24.273767709045927,-2.0,-12.0
20,5,2,2,4,19.480789324791317,33.0,27.928209822785675,14.0,-19.0
20,6,1,1,2,11.11460770055703,-12.0,13.388086136900057,-28.0,-16.0
20,6,1,2,3,11.11460770055703,4.0,20.38140888865354,8.0,4.0
20,6,2,1,3,16.271147383325854,-15.0,17.053390328967453,-31.0,-16.0
