decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
20,6,2,2,4,16.271147383325854,1.0,22.714504887878405,13.0,12.0
20,7,1,1,2,19.478228000550303,4.0,29.891076030846165,-1.0,-5.0
20,7,1,2,3,19.478228000550303,26.0,31.91683564650188,16.0,-10.0
20,7,2,1,3,31.577060664994917,19.0,33.465703104609844,1.0,-18.0
20,7,2,2,4,31.577060664994917,27.0,25.318032010416005,-2.0,-29.0
20,8,1,1,2,18.25886081806783,2.0,29.642516574630605,-10.0,-12.0
20,8,1,2,3,18.25886081806783,25.0,30.736721617345154,45.0,20.0
20,8,2,1,3,27.311021767784496,11.0,35.821663134560396,-5.0,-16.0
20,8,2,2,4,27.311021767784496,32.0,35.83142621640931,56.0,24.0
20,9,1,1,2,6.763150953994256,5.0,17.940904642406593,5.0,0.0
20,9,1,2,3,6.763150953994256,16.0,29.794401381133156,40.0,24.0
20,9,2,1,3,18.86198361843887,16.0,24.220331962558532,-5.0,-21.0
20,9,2,2,4,18.86198361843887,29.0,34.241655085543044,31.0,2.0
22,0,1,1,2,12.366169391943004,25.0,24.852007349405994,26.0,1.0
22,0,1,2,3,12.366169391943004,28.0,21.701687878810503,20.0,-8.0
22,0,2,1,3,23.57121103761898,15.0,32.73923676721523,-5.0,-20.0
22,0,2,2,4,23.57121103761898,19.0,33.17899349985382,28.0,9.0
22,1,1,1,2,22.02552901244752,20.0,26.114695342355702,6.0,-14.0
22,1,1,2,3,22.02552901244752,17.0,31.00615492963368,-3.0,-20.0
22,1,2,1,3,25.578924530409438,0.0,28.975355386413753,3.0,3.0
22,1,2,2,4,25.578924530409438,0.0,31.33071550041592,-10.0,-10.0
22,2,1,1,2,12.366169391943004,28.0,27.335748245501037,15.0,-13.0
22,2,1,2,3,12.366169391943004,34.0,35.58977233415672,32.0,-2.0
22,2,2,1,3,27.37876884391966,37.0,40.80623039805093,32.0,-5.0
22,2,2,2,4,27.37876884391966,43.0,39.16521591576486,38.0,-5.0
22,3,1,1,2,5.708164090748369,8.0,24.806855419999522,0.0,-8.0
22,3,1,2,3,5.708164090748369,14.0,26.488693438794314,8.0,-6.0
22,3,2,1,3,29.10567277483426,20.0,29.186194282052554,14.0,-6.0
22,3,2,2,4,29.10567277483426,10.0,28.68462936767864,16.0,6.0
22,4,1,1,2,18.04904734628235,10.0,26.78523519612955,16.0,6.0
22,4,1,2,3,18.04904734628235,22.0,31.6714933629832,26.0,4.0
22,4,2,1,3,28.273830490208525,34.0,46.155535128218105,18.0,-16.0
22,4,2,2,4,28.273830490208525,31.0,34.192262497108146,31.0,0.0
22,5,1,1,2,15.716024669012654,28.0,27.877553396885503,25.0,-3.0
22,5,1,2,3,15.716024669012654,33.0,28.27503769362974,10.0,-23.0
22,5,2,1,3,28.082194060955658,35.0,32.83450005529352,28.0,-7.0
22,5,2,2,4,28.082194060955658,34.0,31.171846636570024,4.0,-30.0
22,6,1,1,2,5.890856391373461,28.0,19.616421531638792,25.0,-3.0
22,6,1,2,3,5.890856391373461,31.0,30.052153611976735,10.0,-21.0
22,6,2,1,3,21.916872797517726,44.0,27.847754493486008,30.0,-14.0
22,6,2,2,4,21.916872797517726,49.0,35.20393927597493,18.0,-31.0
22,7,1,1,2,8.606423563191072,2.0,32.68776213525527,20.0,18.0
22,7,1,2,3,8.606423563191072,8.0,27.11977557031767,28.0,20.0
22,7,2,1,3,36.25714925514194,22.0,30.63587279608734,20.0,-2.0
22,7,2,2,4,36.25714925514194,27.0,36.40553704186047,35.0,8.0
22,8,1,1,2,16.417244002921677,6.0,36.63942065305676,6.0,0.0
22,8,1,2,3,16.417244002921677,19.0,32.14142153074377,7.0,-12.0
22,8,2,1,3,38.84612366064238,12.0,36.14015426607392,12.0,0.0
22,8,2,2,4,38.84612366064238,18.0,48.746602216814495,17.0,-1.0
22,9,1,1,2,7.117120146413811,12.0,16.017978845541535,10.0,-2.0
22,9,1,2,3,7.117120146413811,2.0,19.94767384247831,13.0,11.0
22,9,2,1,3,19.43557439302856,20.0,21.30656691944594,10.0,-10.0
22,9,2,2,4,19.43557439302856,10.0,30.000516387777083,10.0,0.0
24,0,1,1,2,9.75702857349188,1.0,19.617996276304183,-17.0,-18.0
24,0,1,2,3,9.75702857349188,3.0,21.74286537300813,-12.0,-15.0
24,0,2,1,3,17.59345778422454,-5.0,25.37699912377022,-10.0,-5.0
24,0,2,2,4,17.59345778422454,-2.0,28.896216995562526,-8.0,-6.0
